date,count
2017-09-12,124227
2017-09-13,118728
2017-09-14,119140
2017-09-15,116157
2017-09-16,77326
2017-09-17,83508
2017-09-18,117909
2017-09-19,123536
2017-09-20,122725
2017-09-21,122040
2017-09-22,111905
2017-09-23,81426
2017-09-24,82678
2017-09-25,119782
2017-09-26,126242
2017-09-27,125059
2017-09-28,123198
2017-09-29,114622
2017-09-30,83862
2017-10-01,81077
2017-10-02,115833
2017-10-03,120864
2017-10-04,121351
2017-10-05,119817
2017-10-06,118256
2017-10-07,82890
2017-10-08,91576
2017-10-09,122788
2017-10-10,130206
2017-10-11,129398
2017-10-12,124299
2017-10-13,116897
2017-10-14,80151
2017-10-15,87218
2017-10-16,121629
2017-10-17,126940
2017-10-18,126034
2017-10-19,126144
2017-10-20,119408
2017-10-21,85616
2017-10-22,91643
2017-10-23,127621
2017-10-24,125807
2017-10-25,126782
2017-10-26,125051
2017-10-27,117356
2017-10-28,83146
